class_num,class_name
0,'Speed Limit 20'
1,'Speed Limit 30'
2,'Speed Limit 50'
3,'Speed Limit 60'
4,'Speed Limit 70'
5,'Speed Limit 80'
6,'End Speed Limit'
7,'Speed Limit 100'
8,'Speed Limit 120'
9,'No Passing'
10,'No truck Passing'
11,'Right of Way'
12,'Priority Road'
13,'Yield'
14,'Stop'
15,'Vehicles Prohibited'
16,'Trucks Prohibited'
17,'Entry Prohibited'
18,'Danger'
19,'Left Curve'
20,'Right Curve'
21,'Double Curve'
22,'Bump'
23,'Slippery Road'
24,'Road Narrows'
25,'Construction'
26,'Signal Light'
27,'Crosswalk'
28,'Children'
29,'Bicycles'
30,'Ice'
31,'Deer'
32,'End Restrictions'
33,'Right Turn Only'
34,'Left Turn Only'
35,'No Turning'
36,'Right Turn Ahead'
37,'Left Turn Ahead'
38,'Mandatory Right'
39,'Mandatory Left'
40,'Traffic Circle'
41,'No Passing'
42,'No Truck Passing'
